node_ID,out_degree,in_degree,core,weighted_out_degree,weighted_in_degree,weighted_degree,in_average_iat,in_mad_iat,in_median_iat,in_std_iat,in_min_iat,in_max_iat,in_quantile_25_iat,in_quantile_50_iat,in_quantile_75_iat,in_entropy_iat,in_call_count,in_average_measure,in_mad_measure,in_median_measure,in_std_measure,in_min_measure,in_max_measure,in_quantile_25_measure,in_quantile_50_measure,in_quantile_75_measure,in_entropy_measure,in_sum_measure,out_average_iat,out_mad_iat,out_median_iat,out_std_iat,out_min_iat,out_max_iat,out_quantile_25_iat,out_quantile_50_iat,out_quantile_75_iat,out_entropy_iat,out_call_count,out_average_measure,out_mad_measure,out_median_measure,out_std_measure,out_min_measure,out_max_measure,out_quantile_25_measure,out_quantile_50_measure,out_quantile_75_measure,out_entropy_measure,out_sum_measure
11,4,7,7,1647,2109,3756,50128.833333333336,19775.22222222222,59336.5,22095.71068040633,12823.0,72434.0,34805.0,59336.5,67495.5,1.6755311862771436,7.0,301.2857142857143,126.61224489795917,293.0,137.01482118548267,122.0,469.0,173.5,293.0,439.0,1.837373842718103,2109.0,119554.33333333333,50513.55555555556,124475.0,59958.4068074602,43784.0,190404.0,84129.5,124475.0,157439.5,0.9601839858535706,4.0,411.75,37.25,408.5,40.97178907492325,361.0,469.0,381.25,408.5,439.0,1.3813599521852757,1647.0
12,7,3,7,2081,500,2581,70785.0,4237.0,70785.0,4237.0,66548.0,75022.0,68666.5,70785.0,72903.5,0.6913546602168735,3.0,166.66666666666666,39.55555555555555,156.0,44.731296525910004,118.0,226.0,137.0,156.0,191.0,1.063089633115366,500.0,65565.16666666667,44160.5,64301.0,62167.751810234295,103.0,187386.0,17340.75,64301.0,72784.75,1.2960737715846566,7.0,297.2857142857143,148.53061224489798,347.0,165.75344364939346,40.0,495.0,166.0,347.0,433.5,1.7537942215194742,2081.0
13,3,4,7,953,580,1533,122943.66666666667,89244.88888888889,84702.0,97514.36839199076,27318.0,256811.0,56010.0,84702.0,170756.5,0.7826937572897152,4.0,145.0,131.0,76.5,156.3601611664557,20.0,407.0,28.25,76.5,193.25,0.8491560643288912,580.0,72179.0,8099.0,72179.0,8099.0,64080.0,80278.0,68129.5,72179.0,76228.5,0.6868386811958519,3.0,317.6666666666667,59.77777777777777,349.0,64.35491865860413,228.0,376.0,288.5,349.0,362.5,1.076995363082471,953.0
14,5,6,7,1268,2151,3419,79985.8,55353.27999999999,55916.0,70525.82570775048,23176.0,218369.0,39843.0,55916.0,62625.0,1.290632936689514,6.0,358.5,57.333333333333336,378.0,71.42536897582912,218.0,435.0,338.25,378.0,407.25,1.7701440739566943,2151.0,91335.0,31271.0,101074.0,38950.405466438984,28793.0,134399.0,77370.5,101074.0,115038.5,1.2775822397504963,5.0,253.6,129.92000000000002,217.0,140.1593378979795,88.0,445.0,131.0,217.0,387.0,1.4514677229323327,1268.0
15,8,5,7,1903,1280,3183,50497.75,43634.25,31579.5,52154.54823586818,4375.0,134457.0,8107.75,31579.5,73969.5,0.8485513492060668,5.0,256.0,114.0,232.0,139.38579554603118,35.0,451.0,216.0,232.0,346.0,1.4293966266604023,1280.0,42305.142857142855,39656.775510204076,19377.0,44797.0070984613,4537.0,122698.0,11543.0,19377.0,63219.0,1.4313929689840417,8.0,237.875,135.875,251.5,150.53939476097278,2.0,413.0,137.25,251.5,378.0,1.813525791127562,1903.0
16,3,2,5,924,192,1116,10139.0,0.0,10139.0,0.0,10139.0,10139.0,10139.0,10139.0,10139.0,0.0,2.0,96.0,69.0,96.0,69.0,27.0,165.0,61.5,96.0,130.5,0.40609642111261135,192.0,89659.5,13958.5,89659.5,13958.5,75701.0,103618.0,82680.25,89659.5,96638.75,0.6809790778537863,3.0,308.0,131.33333333333334,351.0,146.48549416239138,111.0,462.0,231.0,351.0,406.5,0.9688367507954164,924.0
17,6,7,7,1880,995,2875,65073.833333333336,43798.5,51052.0,50657.5346696378,7704.0,151729.0,24909.5,51052.0,97296.0,1.4783053170611016,7.0,142.14285714285714,46.44897959183673,125.0,51.10333668566235,67.0,221.0,107.0,125.0,184.0,1.8797986088571594,995.0,68905.6,69139.12,21276.0,84892.51197744122,550.0,229225.0,12043.0,21276.0,81434.0,0.9114996792719382,6.0,313.3333333333333,98.66666666666667,319.5,116.56424075256623,146.0,461.0,220.5,319.5,414.75,1.7185857610051305,1880.0
18,4,3,7,1249,648,1897,135493.5,83635.5,135493.5,83635.5,51858.0,219129.0,93675.75,135493.5,177311.25,0.488199232204314,3.0,216.0,97.33333333333333,238.0,111.31936040060597,70.0,340.0,154.0,238.0,289.0,0.9466737252647184,648.0,112476.33333333333,96239.77777777777,55114.0,102792.16353507801,25479.0,256836.0,40296.5,55114.0,155975.0,0.6987659691456947,4.0,312.25,88.25,308.0,105.82621367128279,170.0,463.0,251.0,308.0,369.25,1.327439148540527,1249.0
19,8,4,7,1985,1478,3463,67070.66666666667,62451.55555555556,30743.0,66793.52866025937,9721.0,160748.0,20232.0,30743.0,95745.5,0.612803497805695,4.0,369.5,129.75,443.0,150.7721791312973,110.0,482.0,353.75,443.0,458.75,1.2809422619622466,1478.0,56157.42857142857,28404.48979591837,49201.0,34953.69452313055,22517.0,126916.0,26748.0,49201.0,70486.0,1.7659121058325686,8.0,248.125,129.34375,254.0,159.45958539705288,12.0,474.0,154.75,254.0,386.0,1.8026453805983813,1985.0
20,4,7,7,948,1132,2080,57123.333333333336,44301.11111111112,34368.0,60822.81549349352,11290.0,188767.0,20058.5,34368.0,52585.75,1.3440111759264182,7.0,161.71428571428572,117.3877551020408,98.0,124.51243688393343,12.0,355.0,63.0,98.0,270.5,1.6192668569578683,1132.0,38674.666666666664,5048.888888888888,34993.0,5355.841566821117,34783.0,46248.0,34888.0,34993.0,40620.5,1.0892938965560073,4.0,237.0,149.0,217.5,152.94933801752788,79.0,434.0,92.5,217.5,362.0,1.1657213949421958,948.0
21,5,6,7,1198,1903,3101,64185.2,30916.96,72850.0,33968.09036963956,14761.0,106239.0,36317.0,72850.0,90759.0,1.4479509708071372,6.0,317.1666666666667,136.83333333333334,314.5,151.37526951989952,96.0,499.0,202.75,314.5,463.75,1.6677188946172747,1903.0,73734.25,50762.75,69719.5,52698.965598837895,13414.0,142084.0,27750.25,69719.5,115703.5,1.1033865083186445,5.0,239.6,99.92,194.0,109.17252401588965,118.0,413.0,157.0,194.0,316.0,1.5080796840415973,1198.0
22,5,4,6,1567,855,2422,91780.33333333333,106976.44444444444,20126.0,113681.61393509898,2970.0,252245.0,11548.0,20126.0,136185.5,0.32033402250584686,4.0,213.75,77.75,183.5,95.38966138948183,120.0,368.0,144.0,183.5,253.25,1.2926329945553643,855.0,78161.5,18623.25,68242.0,21755.332340601006,60754.0,115408.0,65064.25,68242.0,81339.25,1.3505072645595404,5.0,313.4,100.72,387.0,110.51986246824596,125.0,414.0,250.0,387.0,391.0,1.537972504035132,1567.0
23,6,7,7,1580,1864,3444,63454.666666666664,19590.111111111113,65521.5,26243.237622078737,12816.0,91281.0,57792.75,65521.5,84159.0,1.683763753549572,7.0,266.2857142857143,153.9591836734694,297.0,164.17561528150648,53.0,471.0,103.5,297.0,418.0,1.7301951222505116,1864.0,66506.0,39603.2,53570.0,43945.5478063478,4457.0,124961.0,42483.0,53570.0,107059.0,1.3474783642852748,6.0,263.3333333333333,73.44444444444444,219.5,79.74264159713351,193.0,398.0,205.25,219.5,317.0,1.7484045737084712,1580.0
24,6,6,7,1873,1436,3309,66814.0,27898.0,63120.0,33480.803711978006,16410.0,115354.0,51167.0,63120.0,88019.0,1.4688285674733323,6.0,239.33333333333334,93.55555555555554,286.5,102.44456495534006,71.0,338.0,164.75,286.5,319.0,1.683610538234158,1436.0,54349.2,46097.119999999995,32958.0,59473.47169083036,3419.0,169592.0,18192.0,32958.0,47585.0,1.0912615514738757,6.0,312.1666666666667,63.88888888888889,305.0,81.56881893359879,198.0,455.0,262.5,305.0,347.5,1.7579629008121125,1873.0
25,5,5,7,1230,969,2199,87346.25,66962.375,46837.0,77714.75275768108,34440.0,221271.0,37431.0,46837.0,96752.25,1.052104579578534,5.0,193.8,73.76,178.0,86.14731568656102,89.0,335.0,130.0,178.0,237.0,1.511672693389424,969.0,62673.75,37160.75,58230.5,42081.480857825096,10716.0,123518.0,32911.5,58230.5,87992.75,1.1393200350419708,5.0,246.0,104.4,243.0,146.78828291113703,10.0,470.0,224.0,243.0,283.0,1.3753431590809444,1230.0
26,3,4,6,525,1128,1653,119012.33333333333,82961.11111111111,111148.0,98552.60995811097,2435.0,243454.0,56791.5,111148.0,177301.0,0.6584022551610562,4.0,282.0,130.5,330.5,157.9825939779443,21.0,446.0,247.5,330.5,365.0,1.1602506901543528,1128.0,15581.0,7112.0,15581.0,7112.0,8469.0,22693.0,12025.0,15581.0,19137.0,0.585014651606375,3.0,175.0,165.33333333333334,101.0,180.05184438562875,1.0,423.0,51.0,101.0,262.0,0.5030828265201137,525.0
27,5,4,7,877,359,1236,57808.333333333336,45821.1111111111,33497.0,49289.10949579926,13388.0,126540.0,23442.5,33497.0,80018.5,0.7453039371318136,4.0,89.75,51.625,70.0,63.69213059711537,26.0,193.0,44.75,70.0,115.0,1.1467723588996925,359.0,73643.75,39304.75,81508.5,45350.13552005661,5263.0,126295.0,48877.0,81508.5,106275.25,1.132282191102302,5.0,175.4,89.12,181.0,118.01627006476693,14.0,374.0,114.0,181.0,194.0,1.3541152711840176,877.0
28,8,5,7,2175,1469,3644,58145.0,54066.5,49850.0,55544.949720924225,2717.0,130163.0,4759.25,49850.0,103235.75,0.8307064730122848,5.0,293.8,147.04000000000002,330.0,165.08470553022167,34.0,481.0,186.0,330.0,438.0,1.4106559271709276,1469.0,45201.57142857143,28683.51020408163,28513.0,37962.90158584202,12240.0,130452.0,19830.5,28513.0,52772.5,1.6501505124337978,8.0,271.875,108.625,251.0,138.522956130022,18.0,484.0,208.0,251.0,342.75,1.9208317684660308,2175.0
29,7,3,7,2378,917,3295,25632.0,1940.0,25632.0,1940.0,23692.0,27572.0,24662.0,25632.0,26602.0,0.690280205796962,3.0,305.6666666666667,105.1111111111111,371.0,112.03074974706225,148.0,398.0,259.5,371.0,384.5,1.022736392815185,917.0,63836.666666666664,19063.44444444445,67444.5,23256.680335383684,31740.0,100783.0,45042.5,67444.5,75385.75,1.7229131115940033,7.0,339.7142857142857,103.46938775510203,372.0,111.40750716653355,182.0,494.0,237.5,372.0,427.5,1.8901208180617342,2378.0
30,3,3,6,693,940,1633,120451.0,113528.0,120451.0,113528.0,6923.0,233979.0,63687.0,120451.0,177215.0,0.13032697770803967,3.0,313.3333333333333,130.88888888888889,365.0,143.9266788642359,117.0,458.0,241.0,365.0,411.5,0.9770043744627267,940.0,47778.0,5682.0,47778.0,5682.0,42096.0,53460.0,44937.0,47778.0,50619.0,0.6860588352780945,3.0,231.0,20.0,241.0,21.602468994692867,201.0,251.0,221.0,241.0,246.0,1.0941482744955313,693.0
31,7,4,7,1041,1119,2160,119130.33333333333,40186.88888888889,144553.0,42798.31574827319,58850.0,153988.0,101701.5,144553.0,149270.5,1.0259185968072164,4.0,279.75,78.75,286.5,79.46815399894476,186.0,360.0,208.5,286.5,357.75,1.3451253438902788,1119.0,39514.666666666664,38543.777777777774,18496.0,52354.35466022754,839.0,155146.0,16001.75,18496.0,26329.5,1.1288931246768803,7.0,148.71428571428572,125.30612244897962,82.0,141.92121988293795,1.0,392.0,64.0,82.0,219.0,1.5002289829751918,1041.0
32,7,7,7,2274,1915,4189,56390.333333333336,36867.333333333336,58899.0,38378.00271278095,5226.0,102210.0,22134.75,58899.0,92145.75,1.517862844513924,7.0,273.57142857142856,56.48979591836735,285.0,78.71441534860988,109.0,383.0,257.0,285.0,312.0,1.8982697000875606,1915.0,57865.5,46636.666666666664,29121.5,57110.93155940755,12646.0,176121.0,21725.75,29121.5,67972.25,1.3844425516193022,7.0,324.85714285714283,90.73469387755101,350.0,103.80259915742347,182.0,466.0,237.5,350.0,400.5,1.8921818889282551,2274.0
33,7,6,7,2212,2117,4329,54563.4,48765.28,17538.0,54633.07506483595,10970.0,150988.0,13269.0,17538.0,80052.0,1.1398883392802097,6.0,352.8333333333333,92.61111111111113,385.0,131.73763909967246,75.0,479.0,354.5,385.0,432.75,1.6989197268556187,2117.0,64279.833333333336,55448.1111111111,36710.5,66528.7141526541,6511.0,191851.0,11538.75,36710.5,92238.5,1.2764180958387836,7.0,316.0,109.71428571428571,363.0,134.96242863425783,28.0,445.0,285.0,363.0,403.0,1.8160833263351368,2212.0
34,7,0,7,1559,0,1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62666.166666666664,40650.555555555555,46547.0,45733.745153940275,7777.0,136296.0,31294.75,46547.0,96101.25,1.5168596715532614,7.0,222.71428571428572,78.12244897959184,244.0,98.64034857677125,32.0,359.0,189.0,244.0,273.0,1.8210836495076437,1559.0
35,7,4,7,1919,1268,3187,67186.33333333333,9978.88888888889,72053.0,10797.825655607194,52218.0,77288.0,62135.5,72053.0,74670.5,1.0852003383208433,4.0,317.0,128.0,326.5,130.8606128672795,154.0,461.0,206.5,326.5,437.0,1.2968042324507976,1268.0,36393.333333333336,16632.888888888887,38993.5,20269.9883379893,2906.0,64005.0,24280.0,38993.5,50313.25,1.5954664206968094,7.0,274.14285714285717,61.55102040816326,281.0,79.64820609840423,124.0,384.0,241.5,281.0,323.5,1.8997953235092766,1919.0
36,6,5,7,1323,1041,2364,77374.25,36918.875,56990.0,43117.85323027458,44305.0,151212.0,49711.75,56990.0,84652.5,1.2496589960216202,5.0,208.2,86.64,176.0,91.92910311756556,99.0,326.0,133.0,176.0,307.0,1.5108484161861997,1041.0,74650.2,66571.84,27069.0,68155.7220676298,11894.0,161604.0,18558.0,27069.0,154126.0,1.1769940729618091,6.0,220.5,88.33333333333333,177.5,105.18040058236451,118.0,425.0,147.25,177.5,260.25,1.6880223015157458,1323.0
37,7,5,7,1883,803,2686,87343.0,54500.5,62595.0,64909.619922627804,27838.0,196344.0,46293.25,62595.0,103644.75,1.1368248379746961,5.0,160.6,64.47999999999999,189.0,77.97845856388801,22.0,250.0,138.0,189.0,204.0,1.4530921528239333,803.0,59525.666666666664,44710.88888888888,42859.5,51439.554594581095,2728.0,150608.0,21823.5,42859.5,88180.5,1.4045261193196745,7.0,269.0,112.57142857142857,311.0,127.25228036126842,44.0,436.0,184.5,311.0,361.5,1.8112697039337846,1883.0
38,5,4,7,1543,1122,2665,89363.0,77885.33333333333,53121.0,84570.22238747316,8777.0,206191.0,30949.0,53121.0,129656.0,0.6345955225947832,4.0,280.5,90.5,287.5,119.03045828694435,106.0,441.0,232.0,287.5,336.0,1.287190167287917,1122.0,38780.25,18546.75,34206.5,23082.27571509144,11850.0,74858.0,24425.25,34206.5,48561.5,1.2089132799225561,5.0,308.6,94.47999999999999,339.0,104.5841288150358,143.0,421.0,238.0,339.0,402.0,1.546523773641139,1543.0
39,7,6,7,2096,1517,3613,67901.4,39424.479999999996,60407.0,47047.86000489289,12676.0,147346.0,32060.0,60407.0,87018.0,1.363965243627208,6.0,252.83333333333334,72.44444444444446,229.0,90.22271825260471,149.0,427.0,194.0,229.0,282.75,1.731939162047658,1517.0,57433.333333333336,27429.777777777777,44121.0,38010.30819688551,24420.0,139325.0,36725.5,44121.0,54794.75,1.6108970089877912,7.0,299.42857142857144,138.08163265306123,327.0,161.30614826902215,56.0,495.0,179.5,327.0,429.5,1.7715180235089307,2096.0
40,0,4,4,0,876,876,89383.66666666667,45604.8888888889,57088.0,48396.36972840926,53272.0,157791.0,55180.0,57088.0,107439.5,0.9624459909927485,4.0,219.0,52.5,227.5,53.93978123796944,149.0,272.0,175.25,227.5,271.25,1.3551736919902304,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1,2,3,415,511,926,52694.0,0.0,52694.0,0.0,52694.0,52694.0,52694.0,52694.0,52694.0,0.0,2.0,255.5,30.5,255.5,30.5,225.0,286.0,240.25,255.5,270.75,0.686005111944463,511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,415.0,0.0,415.0,0.0,415.0,415.0,415.0,415.0,415.0,0.0,415.0
42,2,7,7,542,1550,2092,41727.166666666664,35487.88888888888,19851.0,39304.6865628713,7048.0,112810.0,14463.5,19851.0,63564.25,1.3814041447499776,7.0,221.42857142857142,123.51020408163265,289.0,130.474800131626,30.0,383.0,101.0,289.0,323.0,1.742213923010333,1550.0,177416.0,0.0,177416.0,0.0,177416.0,177416.0,177416.0,177416.0,177416.0,0.0,2.0,271.0,152.0,271.0,152.0,119.0,423.0,195.0,271.0,347.0,0.5263469471650197,542.0
43,10,4,7,2926,1064,3990,120703.33333333333,61112.222222222226,137968.0,68888.93879442637,29035.0,195107.0,83501.5,137968.0,166537.5,0.9031823267831576,4.0,266.0,122.5,321.5,149.3669976936003,21.0,400.0,208.5,321.5,379.0,1.1610279779059185,1064.0,36354.77777777778,24185.30864197531,35150.0,27988.327073890316,707.0,84732.0,9367.0,35150.0,51727.0,1.8633753544542677,10.0,292.6,98.12,286.0,126.2316917418126,44.0,494.0,230.25,286.0,383.25,2.1939363030339516,2926.0
44,4,4,7,1198,855,2053,137357.0,78910.0,193000.0,83746.57397569568,18992.0,200079.0,105996.0,193000.0,196539.5,0.8478807523211926,4.0,213.75,85.75,195.5,105.25771943187824,88.0,376.0,148.0,195.5,261.25,1.2655384149437352,855.0,69764.0,66289.33333333333,39149.0,72019.56526296634,945.0,169198.0,20047.0,39149.0,104173.5,0.5098747456620796,4.0,299.5,124.0,286.0,129.28360298197137,155.0,471.0,185.75,286.0,399.75,1.2914930470159642,1198.0
45,5,4,7,1326,850,2176,120042.0,57769.333333333336,152931.0,61863.49828991783,33388.0,173807.0,93159.5,152931.0,163369.0,0.9357988791359593,4.0,212.5,141.0,201.0,160.5903172672624,7.0,441.0,103.75,201.0,309.75,1.0367407686473253,850.0,79483.0,74753.0,60410.5,80294.81057640027,1543.0,195568.0,6323.5,60410.5,133570.0,0.7843786545082579,5.0,265.2,147.44,188.0,154.67048845852915,111.0,489.0,128.0,188.0,410.0,1.4410846835897386,1326.0
46,4,8,7,1242,1790,3032,48754.42857142857,38452.77551020408,25963.0,44540.45787774508,1712.0,126991.0,16379.0,25963.0,76928.5,1.5139733170177243,8.0,223.75,109.25,245.5,128.53282654637297,59.0,459.0,93.75,245.5,290.0,1.9055340828392389,1790.0,61149.0,22496.0,70420.0,24654.52430420564,27405.0,85622.0,48912.5,70420.0,78021.0,1.0072035598900668,4.0,310.5,59.75,279.0,71.94963516238286,254.0,430.0,254.0,279.0,335.5,1.3608954375267739,1242.0
47,5,1,6,1150,169,1319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169.0,0.0,169.0,0.0,169.0,169.0,169.0,169.0,169.0,0.0,169.0,71541.0,31375.5,72799.0,37706.09121216359,18033.0,122533.0,51231.75,72799.0,93108.25,1.2285403232337924,5.0,230.0,155.6,168.0,163.97194882052236,61.0,451.0,72.0,168.0,398.0,1.3445703665378264,1150.0
48,1,7,7,182,2355,2537,44923.833333333336,17901.833333333332,46391.5,22702.487854980907,2568.0,75598.0,38873.5,46391.5,58267.75,1.615881889509197,7.0,336.42857142857144,84.20408163265306,305.0,92.89296012516948,208.0,476.0,269.0,305.0,414.0,1.9073670806160539,2355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182.0,0.0,182.0,0.0,182.0,182.0,182.0,182.0,182.0,0.0,182.0
49,9,4,7,1487,1122,2609,80683.0,51031.333333333336,90729.0,58829.551321310166,4136.0,147184.0,47432.5,90729.0,118956.5,0.7398409903640529,4.0,280.5,131.0,301.0,134.24697389513105,108.0,412.0,170.25,301.0,411.25,1.2624778647134087,1122.0,42501.625,20303.375,43747.5,23193.559003188257,11134.0,74321.0,20573.25,43747.5,61813.5,1.9162393421769923,9.0,165.22222222222223,74.19753086419753,173.0,89.2110827417234,31.0,305.0,77.0,173.0,224.0,2.038343180148147,1487.0
50,6,1,7,1468,123,1591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0,0.0,123.0,0.0,123.0,123.0,123.0,123.0,123.0,0.0,123.0,64412.8,21497.44,68704.0,29185.54850880826,16439.0,107619.0,58643.0,68704.0,70659.0,1.4906520146601347,6.0,244.66666666666666,131.88888888888889,216.5,155.50634142124952,61.0,498.0,115.0,216.5,350.25,1.5831455244045318,1468.0
51,6,5,7,1391,916,2307,46478.0,32049.0,27130.0,37329.300375174455,21076.0,110576.0,21135.25,27130.0,52472.75,1.110424444416873,5.0,183.2,74.96000000000001,232.0,91.58034723672978,13.0,271.0,166.0,232.0,234.0,1.4266793273456684,916.0,72397.0,34368.0,62797.0,41036.15682785122,30830.0,144520.0,37644.0,62797.0,86194.0,1.4573206831334702,6.0,231.83333333333334,73.11111111111113,210.5,89.73185362821586,98.0,381.0,190.5,210.5,283.0,1.7150978585791299,1391.0
52,4,3,7,1096,1058,2154,110251.0,7517.0,110251.0,7517.0,102734.0,117768.0,106492.5,110251.0,114009.5,0.6908210665071757,3.0,352.6666666666667,85.77777777777777,360.0,102.19371583201952,224.0,474.0,292.0,360.0,417.0,1.055233497653546,1058.0,38990.666666666664,23555.111111111113,56267.0,24985.997416330792,3658.0,57047.0,29962.5,56267.0,56657.0,0.8105856784676003,4.0,274.0,126.0,291.5,138.7894088178201,75.0,438.0,184.5,291.5,381.0,1.2388452293907535,1096.0
